saleid,saledate,customerid,tax,shipping
191429,2014-02-06,1581,0,43.67
191430,2014-02-06,2523,0,9.95
191431,2014-02-06,3266,0,38.33
191432,2014-02-06,9767,0,19.75
191433,2014-02-06,2402,0,48.96
191434,2014-02-07,11508,0,46.52
191435,2014-02-07,8465,0,47.58
191436,2014-02-07,13587,0,34.07
191437,2014-02-07,9872,0,9.95
191438,2014-02-08,16420,3.84,9.95
191439,2014-02-08,4984,0,9.95
191440,2014-02-08,785,0,38.35
191441,2014-02-08,7651,0,39.59
191442,2014-02-08,6713,0,9.95
191443,2014-02-08,16425,0,9.95
191444,2014-02-08,6077,0,51.62
191445,2014-02-09,14918,0,49.66
191446,2014-02-10,3244,0,21.11
191447,2014-02-10,15027,0,51.35
191448,2014-02-10,13649,3.12,9.95
191449,2014-02-10,8393,0,45.22
191450,2014-02-11,5099,17.44,37.81
191451,2014-02-11,13587,0,18.83
191452,2014-02-11,14537,0,9.95
191453,2014-02-11,6568,0,42.09
191454,2014-02-11,12515,0,9.95
191455,2014-02-12,3918,0,38.93
191456,2014-02-12,3782,0,19.61
191457,2014-02-12,15571,0,9.95
191458,2014-02-12,17733,0,47.34
191459,2014-02-12,5107,0,9.95
191460,2014-02-12,15006,0,9.95
191461,2014-02-12,8438,0,50.53
191462,2014-02-14,8334,0,32.51
191463,2014-02-14,2123,0,9.95
191464,2014-02-14,5222,0,20.99
191465,2014-02-14,1827,0,9.95
191466,2014-02-14,15796,0,9.95
191467,2014-02-15,8416,0,9.95
191468,2014-02-15,9603,0,9.95
191469,2014-02-15,3115,8.16,26.32
191470,2014-02-15,12641,0,37.91
191471,2014-02-15,10910,0,34.81
191472,2014-02-16,292,0,45.04
191473,2014-02-16,675,0,48.57
191474,2014-02-16,1002,0,9.95
191475,2014-02-16,3331,0,32.49
191476,2014-02-16,4897,0,9.95
191477,2014-02-16,3952,0,32.43
191478,2014-02-16,3577,25.68,39.87
191479,2014-02-17,8072,0,18.71
191480,2014-02-17,16696,0,42.37
191481,2014-02-17,10454,0,9.95
191482,2014-02-17,12976,0,59.47
191483,2014-02-17,16120,0,45.27
191484,2014-02-17,13814,0,9.95
191485,2014-02-17,11465,0,9.95
191486,2014-02-17,3400,0,9.95
191487,2014-02-18,5479,0,41.61
191488,2014-02-18,5381,0,25.42
191489,2014-02-18,7806,0,20.55
191490,2014-02-18,10950,0,9.95
191491,2014-02-18,6590,0,44.61
191492,2014-02-18,17919,0,48.92
191493,2014-02-18,10199,0,48.26
191494,2014-02-19,15199,0,9.95
191495,2014-02-19,8827,2.8,9.95
191496,2014-02-19,12099,0,49.5
191497,2014-02-19,7479,6.8,9.95
191498,2014-02-19,9524,0,43.77
191499,2014-02-19,5748,0,9.95
191500,2014-02-20,5382,0,27.4
191501,2014-02-20,10301,0,42.15
191502,2014-02-20,18001,0,9.95
191503,2014-02-20,17583,0,42.99
191504,2014-02-20,6945,0,32.77
191505,2014-02-21,4956,1.92,9.95
191506,2014-02-22,10973,0,9.95
191507,2014-02-22,2789,0,39.81
191508,2014-02-22,4026,0,9.95
191509,2014-02-22,7679,0,47.17
191510,2014-02-22,6033,0,49.24
191511,2014-02-22,14722,0,9.95
191512,2014-02-22,17141,0,9.95
191513,2014-02-22,9894,8.4,9.95
191514,2014-02-23,1613,9.92,26.76
191515,2014-02-24,17530,22.16,34.91
191516,2014-02-24,7945,0,9.95
191517,2014-02-24,11537,0,9.95
191518,2014-02-24,15937,19.92,34.35
191519,2014-02-25,14276,0,9.95
191520,2014-02-25,13958,0,9.95
191521,2014-02-25,3979,0,54.39
191522,2014-02-25,18345,0,9.95
191523,2014-02-26,11216,0,9.95
191524,2014-02-26,13996,34.32,49.98
191525,2014-02-26,18122,0,29.98
191526,2014-02-27,12306,0,47.1
191527,2014-02-27,13428,0,43.35
191528,2014-02-27,6866,0,9.95
191529,2014-02-27,1976,0,37.97
191530,2014-02-27,11281,0,28.12
191531,2014-02-28,17048,0,9.95
191532,2014-02-28,6770,0,45.78
191533,2014-02-28,17996,0,9.95
191534,2014-02-28,13294,0,19.91
191535,2014-03-01,17167,0,9.95
191536,2014-03-01,16284,0,20.31
191537,2014-03-01,8085,0,9.95
191538,2014-03-01,16931,0,9.95
191539,2014-03-01,294,0,37.87
191540,2014-03-01,402,0,9.95
191541,2014-03-01,1130,0,46.54
191542,2014-03-01,3695,0,9.95
191543,2014-03-01,17347,0,46.44
191544,2014-03-02,17387,0,33.77
191545,2014-03-02,12090,0,45.88
191546,2014-03-02,7426,0,9.95
191547,2014-03-02,316,0,41.87
191548,2014-03-02,3672,0,9.95
191549,2014-03-02,8468,0,9.95
191550,2014-03-02,8817,0,34.17
191551,2014-03-02,7443,16.8,22.11
191552,2014-03-02,3560,0,9.95
191553,2014-03-03,10143,0,9.95
191554,2014-03-03,10422,0,33.75
191555,2014-03-03,18432,0,36.05
191556,2014-03-03,4853,0,42.59
191557,2014-03-03,12535,0,9.95
191558,2014-03-03,17909,0,9.95
191559,2014-03-03,9234,0,42.09
191560,2014-03-03,14116,0,38.37
191561,2014-03-03,12541,0,9.95
191562,2014-03-03,1642,0,30.98
191563,2014-03-04,8665,0,20.51
191564,2014-03-04,11231,0,52.14
191565,2014-03-04,18372,0,9.95
191566,2014-03-05,18183,0,26.76
191567,2014-03-05,15654,29.44,46.68
191568,2014-03-05,15732,0,9.95
191569,2014-03-05,3384,0,32.55
191570,2014-03-05,2133,0,9.95
191571,2014-03-05,10003,0,38.83
191572,2014-03-05,8980,0,9.95
191573,2014-03-05,17487,0,21.53
191574,2014-03-05,4378,0,41.79
191575,2014-03-05,7452,0,50.24
191576,2014-03-05,17042,0,38.45
191577,2014-03-05,16990,0,19.55
191578,2014-03-05,5107,0,44.27
191579,2014-03-07,17349,0,46.94
191580,2014-03-07,1278,0,9.95
191581,2014-03-07,8145,0,32.37
191582,2014-03-08,11409,0,51.92
191583,2014-03-08,10092,0,9.95
191584,2014-03-08,18123,0,45.36
191585,2014-03-08,16486,0,9.95
191586,2014-03-08,8249,0,27.18
191587,2014-03-08,1916,0,27.02
191588,2014-03-08,15232,20.48,34.49
191589,2014-03-09,3158,0,9.95
191590,2014-03-09,1376,0,33.39
191591,2014-03-09,7146,0,34.17
191592,2014-03-09,6486,0,26.48
191593,2014-03-09,5888,0,9.95
191594,2014-03-10,5514,0,51.36
191595,2014-03-10,11008,0,9.95
191596,2014-03-10,3022,0,47
191597,2014-03-11,2400,0,34.73
191598,2014-03-11,653,0,35.37
191599,2014-03-11,13631,0,19.07
191600,2014-03-11,10738,0,9.95
191601,2014-03-11,15027,0,9.95
191602,2014-03-11,18311,0,9.95
191603,2014-03-11,1130,0,9.95
191604,2014-03-11,15033,0,9.95
191605,2014-03-12,16878,0,38.99
191606,2014-03-12,13844,0,20.51
191607,2014-03-12,3644,0,9.95
191608,2014-03-12,2875,0,46.28
191609,2014-03-12,213,0,9.95
191610,2014-03-12,13742,0,9.95
191611,2014-03-12,13395,0,9.95
191612,2014-03-12,9198,0,38.81
191613,2014-03-12,11745,0,44.56
191614,2014-03-13,15273,0,44.06
191615,2014-03-13,2609,0,9.95
191616,2014-03-13,18243,4.16,9.95
191617,2014-03-13,9954,0,53.97
191618,2014-03-14,3711,0,9.95
191619,2014-03-14,11279,0,9.95
191620,2014-03-14,9918,0,18.59
191621,2014-03-14,6568,0,42.11
191622,2014-03-14,7939,0,49.25
191623,2014-03-14,6154,0,9.95
191624,2014-03-14,12335,0,52.28
191625,2014-03-14,8020,0,43.53
191626,2014-03-14,10658,0,20.03
191627,2014-03-15,17493,0,42.67
191628,2014-03-15,6702,0,9.95
191629,2014-03-15,6166,0,9.95
191630,2014-03-15,6116,0,9.95
191631,2014-03-16,3361,0,51.7
191632,2014-03-16,6844,0,9.95
191633,2014-03-16,16598,0,9.95
191634,2014-03-16,9668,0,9.95
191635,2014-03-16,16061,0,53.6
191636,2014-03-16,18213,0,9.95
191637,2014-03-16,9071,3.04,9.95
191638,2014-03-18,17530,24.32,42.79
191639,2014-03-18,13819,0,29.78
191640,2014-03-18,4850,0,20.31
191641,2014-03-19,8254,0,9.95
191642,2014-03-19,5773,0,51.65
191643,2014-03-19,10295,0,9.95
191644,2014-03-19,16133,0,9.95
191645,2014-03-19,16133,0,54.83
191646,2014-03-19,9918,0,34.97
191647,2014-03-19,1291,0,27.98
191648,2014-03-19,17487,0,9.95
191649,2014-03-19,14942,0,9.95
191650,2014-03-20,13967,0,47.54
191651,2014-03-20,18004,0,48.06
191652,2014-03-20,15961,0,32.41
191653,2014-03-20,9544,0,20.79
191654,2014-03-20,694,0,9.95
191655,2014-03-20,17813,0,45.24
191656,2014-03-21,10102,0,9.95
191657,2014-03-21,9544,0,9.95
191658,2014-03-21,34,0,18.35
191659,2014-03-21,2113,5.6,9.95
191660,2014-03-21,4010,0,9.95
191661,2014-03-22,1535,0,40.87
191662,2014-03-22,15973,5.2,9.95
191663,2014-03-22,3808,0,39.63
191664,2014-03-22,2401,0,9.95
191665,2014-03-22,10952,0,9.95
191666,2014-03-23,557,0,27
191667,2014-03-23,5570,0,33.31
191668,2014-03-23,12252,0,28.18
191669,2014-03-23,6306,0,9.95
191670,2014-03-23,5381,0,9.95
191671,2014-03-23,2363,0,9.95
191672,2014-03-23,7354,0,9.95
191673,2014-03-24,9995,0,9.95
191674,2014-03-24,12937,0,27.72
191675,2014-03-24,9681,0,9.95
191676,2014-03-24,16655,0,33.83
191677,2014-03-24,17893,0,18.79
191678,2014-03-25,9846,0,44.63
191679,2014-03-25,480,0,9.95
191680,2014-03-26,14209,0,31.85
191681,2014-03-27,3413,0,39.81
191682,2014-03-27,9500,0,28.58
191683,2014-03-27,1385,0,52.88
191684,2014-03-27,8072,0,9.95
191685,2014-03-27,12252,0,9.95
191686,2014-03-28,3247,0,20.71
191687,2014-03-28,14934,0,38.85
191688,2014-03-28,13850,0,45.2
191689,2014-03-29,6945,0,9.95
191690,2014-03-29,2905,0,9.95
191691,2014-03-29,10897,0,9.95
191692,2014-03-30,387,0,9.95
191693,2014-03-30,584,0,9.95
191694,2014-03-30,7194,0,48.14
191695,2014-03-30,9918,0,27.36
191696,2014-03-30,4372,35.04,48.08
191697,2014-03-30,8493,8.32,19.99
191698,2014-03-30,14779,30.96,44.45
191699,2014-03-30,5727,0,9.95
191700,2014-03-30,1095,0,33.39
191701,2014-03-30,8435,0,41.87
191702,2014-03-31,2230,0,42.79
191703,2014-03-31,14518,0,9.95
191704,2014-03-31,13720,14.4,21.51
191705,2014-03-31,4364,0,40.23
191706,2014-03-31,5763,0,9.95
191707,2014-03-31,13941,11.83,27.24
191708,2014-03-31,7776,0,43.01
191709,2014-03-31,304,0,34.55
191710,2014-03-31,13649,37.92,46.19
191711,2014-04-01,18123,0,42.92
191712,2014-04-02,11379,0,41.63
191713,2014-04-02,4614,0,20.91
191714,2014-04-02,14396,0,52.34
191715,2014-04-02,6487,33.52,47.7
191716,2014-04-02,9889,32.24,44.77
191717,2014-04-02,2963,0,9.95
191718,2014-04-02,17049,0,53.55
191719,2014-04-02,4144,0,9.95
191720,2014-04-02,7287,0,35.57
191721,2014-04-02,17973,0,9.95
191722,2014-04-03,14426,0,20.71
191723,2014-04-03,427,0,20.91
191724,2014-04-03,518,0,34.55
191725,2014-04-03,13624,0,9.95
191726,2014-04-03,7706,0,50.32
191727,2014-04-03,14770,0,44.39
191728,2014-04-03,17210,0,9.95
191729,2014-04-03,18166,0,9.95
191730,2014-04-03,10139,0,49.94
191731,2014-04-04,7825,0,39.35
191732,2014-04-04,15418,0,9.95
191733,2014-04-04,13925,0,50.8
191734,2014-04-04,9140,0,53.07
191735,2014-04-05,15815,0,18.35
191736,2014-04-05,3788,0,28.34
191737,2014-04-05,1799,0,9.95
191738,2014-04-06,8334,0,44.36
191739,2014-04-06,5908,0,9.95
191740,2014-04-06,17325,0,9.95
191741,2014-04-06,1139,0,33.35
191742,2014-04-06,1057,0,45.9
191743,2014-04-06,16356,0,9.95
191744,2014-04-06,6584,0,9.95
191745,2014-04-06,9751,0,44.17
191746,2014-04-06,15541,0,9.95
191747,2014-04-06,15654,31.76,44.65
191748,2014-04-07,1793,0,52.65
191749,2014-04-07,13365,0,26.62
191750,2014-04-07,8587,0,9.95
191751,2014-04-07,12437,0,26.26
191752,2014-04-07,953,0,42.63
191753,2014-04-07,9832,0,45.91
191754,2014-04-07,13810,0,9.95
191755,2014-04-08,13020,0,9.95
191756,2014-04-08,10392,0,9.95
191757,2014-04-08,4592,0,9.95
191758,2014-04-08,17553,0,38.65
191759,2014-04-08,12500,0,9.95
191760,2014-04-08,9014,0,9.95
191761,2014-04-08,10986,0,9.95
191762,2014-04-08,10160,0,21.03
191763,2014-04-09,7895,6.72,9.95
191764,2014-04-09,6893,0,9.95
191765,2014-04-09,10438,0,9.95
191766,2014-04-09,2565,0,9.95
191767,2014-04-09,17157,0,9.95
191768,2014-04-09,9688,0,9.95
191769,2014-04-09,1981,0,9.95
191770,2014-04-09,3247,0,41.53
191771,2014-04-09,16741,0,43.75
191772,2014-04-10,3515,0,9.95
191773,2014-04-10,2963,0,9.95
191774,2014-04-10,6917,0,9.95
191775,2014-04-10,7152,0,9.95
191776,2014-04-10,12252,0,46.42
191777,2014-04-10,3771,0,44.11
191778,2014-04-11,3731,0,19.31
191779,2014-04-11,5479,0,49.06
191780,2014-04-11,14859,0,37.57
191781,2014-04-11,9954,0,44.21
191782,2014-04-12,9843,0,32.45
191783,2014-04-12,12971,20,34.37
191784,2014-04-12,11046,0,18.71
191785,2014-04-12,7146,0,26.22
191786,2014-04-12,7813,0,9.95
191787,2014-04-13,17697,0,9.95
191788,2014-04-13,13058,0,9.95
191789,2014-04-13,6264,0,9.95
191790,2014-04-13,2523,0,52.48
191791,2014-04-13,8223,0,54.61
191792,2014-04-13,3782,0,9.95
191793,2014-04-13,7908,8.8,9.95
191794,2014-04-13,2351,0,35.39
191795,2014-04-13,9791,0,39.67
191796,2014-04-14,8334,0,9.95
191797,2014-04-14,1440,0,19.31
191798,2014-04-15,14357,0,9.95
191799,2014-04-15,17402,0,9.95
191800,2014-04-15,12110,0,37.55
191801,2014-04-15,402,0,9.95
191802,2014-04-15,1293,0,19.63
191803,2014-04-15,17279,0,9.95
191804,2014-04-16,12106,0,42.77
191805,2014-04-16,957,0,35.03
191806,2014-04-16,5828,0,9.95
191807,2014-04-16,9798,0,42.31
191808,2014-04-16,1827,0,9.95
191809,2014-04-17,10286,0,32.75
191810,2014-04-17,7113,0,44.81
191811,2014-04-17,1643,0,9.95
191812,2014-04-17,11015,0,50.26
191813,2014-04-17,730,3.68,9.95
191814,2014-04-17,9812,18.79,44.02
191815,2014-04-17,14491,0,21.91
191816,2014-04-17,2969,0,20.95
191817,2014-04-17,13003,0,38.81
191818,2014-04-18,9189,0,33.89
191819,2014-04-18,6159,0,9.95
191820,2014-04-18,14885,0,9.95
191821,2014-04-18,8006,0,9.95
191822,2014-04-18,14955,0,9.95
191823,2014-04-18,6376,0,50.84
191824,2014-04-18,7386,0,41.73
191825,2014-04-18,15873,0,18.63
191826,2014-04-18,14355,0,47.58
191827,2014-04-19,11553,0,43.13
191828,2014-04-19,11555,0,32.55
191829,2014-04-20,13837,0,39.95
191830,2014-04-20,8487,0,9.95
191831,2014-04-20,2689,0,9.95
191832,2014-04-20,4330,0,46.46
191833,2014-04-20,606,0,18.87
191834,2014-04-20,15717,5.76,9.95
191835,2014-04-20,1416,0,9.95
191836,2014-04-20,12090,0,9.95
191837,2014-04-20,14473,0,26.44
191838,2014-04-20,8602,0,21.07
191839,2014-04-21,10912,0,33.67
191840,2014-04-22,10172,37.36,50.74
191841,2014-04-22,479,0,39.75
191842,2014-04-22,17909,0,9.95
191843,2014-04-23,17706,0,9.95
191844,2014-04-23,17357,0,42.05
191845,2014-04-24,16553,0,9.95
191846,2014-04-24,15402,0,39.89
191847,2014-04-24,11447,0,26.28
191848,2014-04-25,14531,0,20.79
191849,2014-04-25,12118,0,9.95
191850,2014-04-25,13367,0,9.95
191851,2014-04-25,14617,0,9.95
191852,2014-04-25,316,0,9.95
191853,2014-04-25,1695,0,44.49
191854,2014-04-25,14355,0,9.95
191855,2014-04-25,14355,0,9.95
191856,2014-04-25,2554,0,9.95
191857,2014-04-25,12971,14.16,27.82
191858,2014-04-26,11648,3.12,9.95
191859,2014-04-26,1941,22.64,42.37
191860,2014-04-26,6798,0,34.07
191861,2014-04-26,8151,0,42.49
191862,2014-04-26,16391,0,38.95
191863,2014-04-26,14529,0,33.59
191864,2014-04-26,291,0,46.8
191865,2014-04-26,5002,0,42.35
191866,2014-04-28,14630,0,9.95
191867,2014-04-28,10735,0,9.95
191868,2014-04-28,16843,0,44.96
191869,2014-04-28,8866,0,26.78
191870,2014-04-28,5232,0,20.91
191871,2014-04-28,16327,0,49.16
191872,2014-04-28,12861,0,44.86
191873,2014-04-28,7479,36.15,52.11
191874,2014-04-28,732,0,9.95
191875,2014-04-28,2035,33.04,47.58
191876,2014-04-28,3347,0,9.95
191877,2014-04-29,8866,0,46.52
191878,2014-04-29,7170,0,9.95
191879,2014-04-29,12945,0,9.95
191880,2014-04-29,13102,3.36,9.95
191881,2014-04-29,9325,14.72,33.05
191882,2014-04-29,4786,0,9.95
191883,2014-04-29,3624,0,27.88
191884,2014-04-29,5700,0,9.95
191885,2014-04-29,3522,0,19.31
191886,2014-04-30,17389,0,9.95
191887,2014-04-30,13748,0,9.95
191888,2014-04-30,1262,0,9.95
191889,2014-04-30,9819,31.2,47.12
191890,2014-04-30,5716,0,19.91
191891,2014-05-01,1089,0,9.95
191892,2014-05-01,6451,0,9.95
191893,2014-05-01,12976,0,43.57
191894,2014-05-01,13850,0,9.95
191895,2014-05-01,15733,0,38.29
191896,2014-05-01,15081,0,47.46
191897,2014-05-01,6702,0,9.95
191898,2014-05-02,4155,0,9.95
191899,2014-05-02,12699,0,44.41
191900,2014-05-02,11331,0,50.96
191901,2014-05-02,15651,0,59.03
191902,2014-05-02,14840,0,9.95
191903,2014-05-02,13700,0,26.9
191904,2014-05-02,2054,0,38.25
191905,2014-05-02,4018,0,9.95
191906,2014-05-02,13406,0,9.95
191907,2014-05-02,12265,8.8,9.95
191908,2014-05-03,9162,0,9.95
191909,2014-05-03,4119,0,51.76
191910,2014-05-03,17253,20.48,34.49
191911,2014-05-03,2875,0,38.39
191912,2014-05-03,8968,0,9.95
191913,2014-05-03,15135,0,46.79
191914,2014-05-03,3113,0,9.95
191915,2014-05-03,8380,0,9.95
191916,2014-05-03,14932,0,9.95
191917,2014-05-03,8118,0,9.95
191918,2014-05-03,3286,5.44,9.95
191919,2014-05-03,13138,0,38.75
191920,2014-05-03,18318,0,9.95
191921,2014-05-04,17018,23.92,42.69
191922,2014-05-04,9544,0,9.95
191923,2014-05-04,13137,0,37.55
191924,2014-05-04,5558,0,9.95
191925,2014-05-04,4808,0,9.95
191926,2014-05-04,8040,0,46.94
191927,2014-05-04,15956,0.88,9.95
191928,2014-05-05,14818,0,38.47
191929,2014-05-05,16498,0,42.37
191930,2014-05-05,12021,19.28,41.53
191931,2014-05-05,13156,0,47.12
191932,2014-05-05,15167,0,41.61
191933,2014-05-05,774,0,20.45
191934,2014-05-05,12078,0,36.73
191935,2014-05-06,4884,0,42.53
191936,2014-05-06,9582,4.8,9.95
191937,2014-05-06,16417,0,47.8
191938,2014-05-07,7613,0,9.95
191939,2014-05-07,3560,0,48.52
191940,2014-05-07,15717,23.6,35.27
191941,2014-05-07,10739,0,9.95
191942,2014-05-07,12262,2.64,9.95
191943,2014-05-07,17215,0,33.69
191944,2014-05-08,1815,0,46.3
191945,2014-05-08,13190,0,9.95
191946,2014-05-08,16993,0,50.8
191947,2014-05-08,16418,0,53.31
191948,2014-05-08,8090,0,9.95
191949,2014-05-08,3728,0,9.95
191950,2014-05-08,14306,0,41.61
191951,2014-05-09,16498,0,9.95
191952,2014-05-09,13844,0,53.15
191953,2014-05-09,17193,0,37.67
191954,2014-05-10,6793,0,9.95
191955,2014-05-10,14869,0,34.13
191956,2014-05-10,3756,0,9.95
191957,2014-05-10,15091,0,41.73
